word_id,word,sentence_id,sentence,,,,,,,,,,,,,,,,,,,
j3cflScQLfo_w,qualitative,j3cflScQLfo_d,relating to how good or bad something is,,,,,,,,,,,,,,,,,,,
mfp9Jb5pfEY_w,concept,mfp9Jb5pfEY_d,an abstract idea.,,,,,,,,,,,,,,,,,,,
wNZIAo8zLP0_w,attach,wNZIAo8zLP0_d,"to fasten, join, or connect something",,,,,,,,,,,,,,,,,,,
CLSIZPQeWJU_w,meter,CLSIZPQeWJU_d,a device that measures the amount of something that is used,,,,,,,,,,,,,,,,,,,
_Tbcd3_o3-E_w,owing to,_Tbcd3_o3-E_d,Because of ,,,,,,,,,,,,,,,,,,,
s5ev9o9-Hj4_w,entertain,s5ev9o9-Hj4_d,to keep a group of people interested or enjoying themselves,,,,,,,,,,,,,,,,,,,
U-FDYYp3OfI_w,advertisement,U-FDYYp3OfI_d,"a picture, short film, song, etc. that tries to persuade people to buy a product or service, or a piece of text that tells people about a job, etc.",,,,,,,,,,,,,,,,,,,
tz0m5R2Tfeo_w,bouquet,tz0m5R2Tfeo_d,An attractively arranged bunch of flowers given as a present or to welcome someone.,,,,,,,,,,,,,,,,,,,
KQpXEZpNF1s_w,altogether,KQpXEZpNF1s_d,completely or in total,,,,,,,,,,,,,,,,,,,
yYAuTrPtnxc_w,concerned,yYAuTrPtnxc_d,Worried.,,,,,,,,,,,,,,,,,,,
X7W6YeT2JZk_w,sanctify,X7W6YeT2JZk_d,to make something or someone holy ,,,,,,,,,,,,,,,,,,,
mxJapRjh1BM_w,unbreakable,mxJapRjh1BM_d,impossible to break,,,,,,,,,,,,,,,,,,,
BPkY6fJerkM_w,mechanism,BPkY6fJerkM_d,"a part of a machine, or a set of parts that work together",,,,,,,,,,,,,,,,,,,
6_Lnzu1WFPI_w,accomplish,6_Lnzu1WFPI_d,to finish something successfully or to achieve something,,,,,,,,,,,,,,,,,,,
